split,RMSE,MAE,n,model
train,3.3314892972966974,2.6556353571685154,21010,climatology
val,3.545954536676234,2.758060783451888,1940,climatology
test,3.79091052678388,2.933303822570889,2162,climatology
train,3.2339523623518285,2.503631603998096,21010,persistence
val,3.313527413124233,2.5765979381443302,1940,persistence
test,3.354039910135076,2.5538390379278444,2162,persistence
train,2.8219955737517375,2.2349039674085165,21010,ridge
val,2.887040652170691,2.290214368464792,1940,ridge
test,2.9961161337659177,2.342742704648266,2162,ridge
