DATE,y_true,mu,sigma,lo50,hi50,lo90,hi90
1950-04-21,13.9,16.732803,3.929309,14.082525,19.383081,10.269666,23.195942
1950-04-22,8.3,15.386543,3.5416906,12.997709,17.775377,9.560981,21.212105
1950-04-23,8.3,14.596134,3.2938585,12.37446,16.817808,9.178219,20.01405
1950-04-24,8.3,11.879424,2.609091,10.119619,13.639229,7.5878515,16.170998
1950-04-25,12.2,12.082539,2.6150737,10.318698,13.846379,7.781125,16.383953
1950-04-26,13.9,13.514112,2.843262,11.596361,15.431864,8.837362,18.190863
1950-04-27,14.4,14.699701,3.1573486,12.570102,16.8293,9.506325,19.893078
1950-04-28,17.2,14.795314,3.4558835,12.464355,17.126272,9.110891,20.479736
1950-04-29,18.9,15.1122,3.103427,13.0189705,17.20543,10.007517,20.216883
1950-04-30,15.6,17.16305,3.7550175,14.630329,19.69577,10.986595,23.339504
1950-05-01,14.4,17.613289,3.8919024,14.988241,20.238337,11.211679,24.014898
1950-05-02,13.3,15.620707,3.3661125,13.350298,17.891115,10.083944,21.157469
1950-05-03,13.3,15.372881,3.3150172,13.136936,17.608826,9.920163,20.8256
1950-05-04,11.1,15.285784,3.2506287,13.093268,17.4783,9.938975,20.632591
1950-05-05,15.0,15.396904,3.241104,13.210813,17.582996,10.0657625,20.728046
1950-05-06,13.3,14.216334,2.929283,12.240563,16.192106,9.398092,19.034576
1950-05-07,19.4,16.778479,3.3269086,14.534513,19.022444,11.306201,22.250755
1950-05-08,21.7,15.752026,3.1377776,13.635627,17.868423,10.590841,20.91321
1950-05-09,20.6,18.34077,4.0521584,15.607632,21.07391,11.675564,25.005978
1950-05-10,22.8,20.271444,4.5012994,17.235365,23.307524,12.867466,27.675423
1950-05-11,22.2,19.00792,4.1202955,16.228823,21.787016,12.230637,25.785202
1950-05-12,17.2,20.245316,4.4681463,17.231596,23.259035,12.895869,27.59476
1950-05-13,13.3,20.245487,4.3490024,17.31213,23.178844,13.092015,27.39896
1950-05-14,10.6,17.619854,3.7639778,15.081089,20.158619,11.428661,23.811047
1950-05-15,13.9,15.825592,3.1683104,13.688599,17.962585,10.614185,21.036999
1950-05-16,13.9,15.385628,2.9887245,13.369764,17.401491,10.469614,20.301641
1950-05-17,16.1,17.02053,3.3126261,14.786199,19.254864,11.571746,22.469315
1950-05-18,16.1,17.051311,3.3655274,14.781298,19.321325,11.5155115,22.587112
1950-05-19,22.2,17.596258,3.563084,15.192995,19.999521,11.735507,23.457008
1950-05-20,19.4,17.245604,3.2425275,15.058552,19.432655,11.912121,22.579086
1950-05-21,20.6,20.419886,4.110308,17.647526,23.192245,13.659031,27.18074
1950-05-22,12.8,18.961237,3.9083753,16.325077,21.597397,12.532532,25.389942
1950-05-23,11.1,19.830805,4.005087,17.129416,22.532194,13.243023,26.418587
1950-05-24,12.8,16.510296,3.177446,14.367142,18.65345,11.283863,21.736729
1950-05-25,18.3,15.903917,2.9723632,13.899089,17.908745,11.014814,20.79302
1950-05-26,17.8,16.231417,2.7927482,14.347736,18.115097,11.637754,20.825079
1950-05-27,17.8,19.642324,3.6461236,17.183052,22.101597,13.644985,25.639664
1950-05-28,23.3,18.512848,3.4785275,16.166616,20.85908,12.79118,24.234516
1950-05-29,21.1,19.006104,3.5967312,16.580145,21.432062,13.090008,24.9222
1950-05-30,21.7,21.386826,4.473571,18.369448,24.404203,14.028457,28.745193
1950-05-31,22.8,20.405293,4.310334,17.498016,23.312569,13.315424,27.495161
1950-06-01,26.1,21.407383,4.316409,18.49601,24.318756,14.307522,28.507244
1950-06-02,28.3,21.85566,4.3915052,18.893635,24.817684,14.632277,29.079042
1950-06-03,30.0,23.987848,4.812394,20.741938,27.233759,16.072165,31.903532
1950-06-04,30.6,25.111177,5.2600765,21.56331,28.659044,16.459122,33.763233
1950-06-05,29.4,26.05332,5.249307,22.512716,29.593924,17.418978,34.68766
1950-06-06,24.4,26.410591,5.5580645,22.661734,30.159449,17.268389,35.552795
1950-06-07,20.0,25.364147,5.2050114,21.85342,28.874874,16.802666,33.92563
1950-06-08,25.6,23.301115,4.371868,20.352335,26.249895,16.110031,30.492199
1950-06-09,25.0,21.537449,3.7970505,18.976377,24.09852,15.291857,27.783041
