DATE,y_true,mu,sigma,lo50,hi50,lo90,hi90
1950-03-21,14.4,13.21479,3.0760076,11.140055,15.289526,8.155209,18.274372
1950-03-22,15.6,12.245166,2.851347,10.321961,14.16837,7.5551176,16.935215
1950-03-23,15.6,12.669801,2.9758255,10.662637,14.676965,7.7750034,17.564598
1950-03-24,12.2,13.447163,3.1199522,11.342787,15.551538,8.315298,18.579027
1950-03-25,13.3,13.529611,3.092307,11.443881,15.61534,8.443218,18.616003
1950-03-26,8.3,11.91899,2.9547205,9.926062,13.911919,7.0589075,16.779072
1950-03-27,11.1,12.670111,3.178775,10.52606,14.814161,7.441491,17.898731
1950-03-28,10.6,9.639202,2.6212258,7.871212,11.407192,5.3276696,13.950735
1950-03-29,10.6,11.16867,2.700271,9.347364,12.989975,6.7271194,15.61022
1950-03-30,13.3,11.39107,2.8178182,9.49048,13.29166,6.756172,16.025969
1950-03-31,11.1,11.397863,2.8600767,9.468771,13.326956,6.693456,16.10227
1950-04-01,11.7,12.595079,3.0199983,10.558122,14.632037,7.6276245,17.562534
1950-04-02,11.7,11.669289,2.7555616,9.810691,13.527886,7.136793,16.201784
1950-04-03,12.2,12.254359,2.9273236,10.279909,14.228809,7.4393406,17.069378
1950-04-04,15.0,12.267876,2.8752437,10.328553,14.207198,7.538521,16.99723
1950-04-05,17.2,12.378066,2.9473977,10.390077,14.3660555,7.5300283,17.226105
1950-04-06,13.9,14.117908,3.3459446,11.861102,16.374714,8.614319,19.621496
1950-04-07,12.2,15.068559,3.5628269,12.665468,17.47165,9.20823,20.928886
1950-04-08,11.7,13.4904,3.2379704,11.306422,15.674378,8.164413,18.816387
1950-04-09,11.7,12.791274,2.8755348,10.851755,14.730793,8.06144,17.521107
1950-04-10,11.7,12.251395,2.8043745,10.359874,14.142917,7.63861,16.864182
1950-04-11,10.6,12.184318,2.713297,10.354227,14.014408,7.7213416,16.647293
1950-04-12,10.0,12.050305,2.781129,10.174462,13.926148,7.4757557,16.624855
1950-04-13,10.0,11.622553,2.7496696,9.767929,13.477177,7.099749,16.145357
1950-04-14,13.3,11.394138,2.6141574,9.630916,13.157361,7.094232,15.694044
1950-04-15,10.0,11.540387,2.6744325,9.73651,13.344264,7.1413374,15.939437
1950-04-16,10.0,13.300199,2.9927027,11.2816515,15.318746,8.377641,18.222755
1950-04-17,14.4,11.694017,2.809741,9.798876,13.589159,7.072405,16.31563
1950-04-18,16.7,12.090499,2.779856,10.215515,13.965483,7.518043,16.662954
1950-04-19,18.3,14.724362,3.1474824,12.601418,16.847307,9.5472145,19.90151
1950-04-20,15.0,15.323494,3.3885005,13.037985,17.609003,9.749907,20.897081
1950-04-21,13.3,15.789584,3.7222042,13.2789955,18.300173,9.667103,21.912066
1950-04-22,8.3,14.53798,3.370156,12.264845,16.811115,8.994567,20.081394
1950-04-23,7.2,13.24996,3.0794554,11.172899,15.327021,8.184707,18.315212
1950-04-24,10.6,10.581565,2.5130439,8.886542,12.2765875,6.4479756,14.715155
1950-04-25,12.8,10.467507,2.4385703,8.822717,12.112298,6.456416,14.478599
1950-04-26,12.8,12.766711,2.9146733,10.800794,14.732629,7.9725003,17.560923
1950-04-27,13.3,13.7799015,2.962077,11.782011,15.777792,8.907719,18.652084
1950-04-28,15.6,13.725633,3.038945,11.675896,15.77537,8.727013,18.724253
1950-04-29,16.1,13.258797,2.7899857,11.37698,15.140614,8.669679,17.847916
1950-04-30,15.0,15.100319,3.2360752,12.91762,17.283018,9.777449,20.42319
1950-05-01,15.6,15.515877,3.3723276,13.241277,17.790478,9.968891,21.062862
1950-05-02,13.9,14.865039,3.2617974,12.664989,17.065088,9.49986,20.230217
1950-05-03,13.3,15.625126,3.3058658,13.395353,17.854898,10.187461,21.06279
1950-05-04,13.3,14.793829,3.1738122,12.653126,16.934532,9.573373,20.014286
